05-29-16:58:50.5927 15588 GateServer::CGSKernel::Initialize:107 CGSKernel Initialize success
05-29-16:58:51.1297 15588 CM2BSession::SendInitData:33 BS Connected, try to register me.
05-29-16:58:51.1317 15588 CM2BSession::OnRealEstablish:42 BS Connected and register ok.
05-29-16:58:51.6607 15588 CM2CSession::SendInitData:34 CS Connected, try to register me.
05-29-16:58:51.6647 15588 CM2CSession::OnRealEstablish:46 CS Connected and register ok
05-29-16:58:51.7187 15588 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-29-16:58:52.0117 15588 CM2SSession::SendInitData:36 SS(20001) Connected, try to register me.
05-29-16:58:52.0367 15588 CM2SSession::Msg_Handle_Init:92 register to SS 20001 success at session 3.
05-29-16:58:52.0418 15588 CM2SSession::OnRealEstablish:52 SS(20001) Connected and register ok.
05-29-17:01:31.8099 15588 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 1.
05-29-17:04:11.8640 15588 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-29-17:06:51.9202 15588 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 3.
05-29-17:09:31.9534 15588 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-29-17:12:11.9715 15588 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-29-17:14:51.9967 15588 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 1.
05-29-17:17:32.0218 15588 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-29-17:20:12.0370 15588 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-29-17:22:52.0421 15588 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-29-17:25:32.0433 15588 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-29-17:28:12.0434 15588 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-29-17:30:52.0506 15588 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
